"Problem.ID","ProblemStep","User.ID","Problem.Sub.Part.ID","Order","Action.Type","Timestamp","Answer.Text","Correctness","Problem.Log.ID","Condition","Participant_ID","Problem","CorrectAnswer"
"""PRABMQV2""",0,617499,1751056,2,"""answer""","""01/16/2020 16:42:58.145""","""2""","true",218467966,"Proactive","thinkaloudp0216",4,NA
"""PRABMQV2""",0,618040,1751056,1,"""start""","""01/24/2020 14:26:54.267""","""""","",218676720,"Proactive","thinkaloudp0701",4,NA
"""PRABMQV2""",0,617499,1751056,1,"""start""","""01/16/2020 16:42:28.626""","""""","",218467966,"Proactive","thinkaloudp0216",4,NA
"""PRABMQV2""",0,616756,1751056,2,"""answer""","""12/12/2019 16:23:18.230""","""1 Not confident at all""","true",217901098,"Proactive","thinkaloudp0802",4,NA
"""PRABMQV2""",0,616756,1751056,3,"""end""","""12/12/2019 16:23:18.234""","""""","",217901098,"Proactive","thinkaloudp0802",4,NA
"""PRABMQV2""",0,616590,1751056,1,"""start""","""12/06/2019 14:34:05.321""","""""","",217733175,"Proactive","thinkaloudp0606",4,NA
"""PRABMQV2""",0,616590,1751056,2,"""answer""","""12/06/2019 14:34:54.208""","""3 Neutral""","true",217733175,"Proactive","thinkaloudp0606",4,NA
"""PRABMQV2""",0,616590,1751056,3,"""end""","""12/06/2019 14:34:54.211""","""""","",217733175,"Proactive","thinkaloudp0606",4,NA
"""PRABMQV2""",0,619679,1751056,1,"""start""","""02/13/2020 15:47:57.915""","""""","",219255292,"Proactive","thinkaloudp0405",4,NA
"""PRABMQV2""",0,620158,1751056,3,"""end""","""02/21/2020 14:20:56.986""","""""","",219381804,"Proactive","thinkaloudp1111",4,NA
"""PRABMQV2""",0,617714,1751056,1,"""start""","""01/17/2020 14:17:47.798""","""""","",218499887,"Proactive","thinkaloudp1006",4,NA
"""PRABMQV2""",0,617714,1751056,2,"""answer""","""01/17/2020 14:18:08.734""","""2""","true",218499887,"Proactive","thinkaloudp1006",4,NA
"""PRABMQV2""",0,617714,1751056,3,"""end""","""01/17/2020 14:18:08.739""","""""","",218499887,"Proactive","thinkaloudp1006",4,NA
"""PRABMQV2""",0,616756,1751056,1,"""start""","""12/12/2019 16:23:08.016""","""""","",217901098,"Proactive","thinkaloudp0802",4,NA
"""PRABMQV2""",0,619679,1751056,3,"""end""","""02/13/2020 15:48:31.003""","""""","",219255292,"Proactive","thinkaloudp0405",4,NA
"""PRABMQV2""",0,619679,1751056,2,"""answer""","""02/13/2020 15:48:31.296""","""3 Neutral""","true",219255292,"Proactive","thinkaloudp0405",4,NA
"""PRABMQV2""",0,620158,1751056,2,"""answer""","""02/21/2020 14:20:56.983""","""1 Not confident at all""","true",219381804,"Proactive","thinkaloudp1111",4,NA
"""PRABMQV2""",0,618707,1751056,3,"""end""","""01/30/2020 15:21:44.206""","""""","",218852622,"Proactive","thinkaloudp1110",4,NA
