"Problem.Sub.Part.ID","ProblemStep","Problem.ID","Problem","User.ID","Participant_ID","Order","Action.Type","Timestamp","Answer.Text","Correctness","Problem.Log.ID","CorrectedAns"
1751064,1,"""PRABMQVY""","6",686624,"p566s0816",2,"""answer""","""12/17/2020 14:25:32.156""","""0.25""","true",225254924,0.25
1751064,1,"""PRABMQVY""","6",686700,"p536s0109",2,"""answer""","""01/04/2021 10:37:14.203""","""1/4""","true",225306787,0.25
1751064,1,"""PRABMQVY""","6",686662,"p296s0426",2,"""answer""","""12/21/2020 14:35:33.266""","""1/4""","true",225287253,0.25
1751064,1,"""PRABMQVY""","6",687970,"p411s0607",2,"""answer""","""02/04/2021 13:58:59.062""","""0.25""","true",225738104,0.25
1751064,1,"""PRABMQVY""","6",687560,"p587s1221",2,"""answer""","""01/22/2021 15:39:14.939""","""3/12""","true",225583991,0.25
1751064,1,"""PRABMQVY""","6",687264,"p592s0613",2,"""answer""","""01/14/2021 10:37:00.410""","""1/4""","true",225465221,0.25
1751064,1,"""PRABMQVY""","6",687200,"p116s0808",2,"""answer""","""01/13/2021 13:39:09.016""","""1/4""","true",225449137,0.25
1751064,1,"""PRABMQVY""","6",686599,"p225s0925",2,"""answer""","""12/16/2020 12:30:37.605""","""1/4""","true",225235852,0.25
1751064,1,"""PRABMQVY""","6",687114,"p161s0504",2,"""answer""","""01/12/2021 12:26:55.252""","""1/4""","true",225425965,0.25
1751064,1,"""PRABMQVY""","6",688031,"p342s1011",2,"""answer""","""02/08/2021 13:35:21.614""","""1/9""","false",225777063,0.11
1751064,1,"""PRABMQVY""","6",687198,"p788s0505",2,"""answer""","""01/13/2021 10:35:09.387""","""0.25""","true",225443342,0.25
1751064,1,"""PRABMQVY""","6",688031,"p342s1011",4,"""answer""","""02/08/2021 13:35:52.037""","""1/4""","true",225777063,0.25
1751064,1,"""PRABMQVY""","6",687766,"p821s0908",2,"""answer""","""01/29/2021 15:29:38.681""","""1/4""","true",225672024,0.25
1751064,1,"""PRABMQVY""","6",686643,"p893s0223",2,"""answer""","""12/18/2020 13:29:16.452""","""0.25""","true",225271839,0.25
1751064,1,"""PRABMQVY""","6",686669,"p962s0107",2,"""answer""","""12/23/2020 13:27:20.347""","""1/4""","true",225298726,0.25
1751064,1,"""PRABMQVY""","6",687115,"p269s0806",2,"""answer""","""01/14/2021 15:36:01.548""","""1/4""","true",225477292,0.25
1751064,1,"""PRABMQVY""","6",686446,"p934s0803",2,"""answer""","""01/25/2021 10:35:10.959""","""1/4""","true",225593190,0.25
1751064,1,"""PRABMQVY""","6",686448,"p881s1013",2,"""answer""","""12/14/2020 15:21:54.548""","""3/12""","true",225200159,0.25
1751064,1,"""PRABMQVY""","6",687353,"p700s0716",2,"""answer""","""01/21/2021 15:28:01.059""","""1/4""","true",225557750,0.25
1751064,1,"""PRABMQVY""","6",687559,"p858s0707",2,"""answer""","""01/25/2021 13:32:58.565""","""1/4""","true",225597952,0.25
1751065,3,"""PRABMQVY""","6",688031,"p342s1011",2,"""answer""","""02/08/2021 13:36:24.647""","""5/11""","true",225777076,0.45
1751065,3,"""PRABMQVY""","6",686669,"p962s0107",3,"""answer""","""12/23/2020 13:27:50.686""","""5/11""","true",225298729,0.45
1751065,3,"""PRABMQVY""","6",686446,"p934s0803",2,"""answer""","""01/25/2021 10:35:33.848""","""5/11""","true",225593199,0.45
1751065,3,"""PRABMQVY""","6",686599,"p225s0925",2,"""answer""","""12/16/2020 12:31:05.950""","""5/11""","true",225235867,0.45
1751065,3,"""PRABMQVY""","6",686662,"p296s0426",2,"""answer""","""12/21/2020 14:36:04.564""","""5/11""","true",225287258,0.45
1751065,3,"""PRABMQVY""","6",687114,"p161s0504",4,"""answer""","""01/12/2021 12:28:18.180""","""5/11""","true",225425976,0.45
1751065,3,"""PRABMQVY""","6",687114,"p161s0504",2,"""answer""","""01/12/2021 12:27:28.718""","""0.11""","false",225425976,0.11
1751065,3,"""PRABMQVY""","6",686700,"p536s0109",2,"""answer""","""01/04/2021 10:37:47.571""","""5/11""","true",225306800,0.45
1751065,3,"""PRABMQVY""","6",686624,"p566s0816",2,"""answer""","""12/17/2020 14:26:06.157""","""0.45""","true",225254935,0.45
1751065,3,"""PRABMQVY""","6",687970,"p411s0607",2,"""answer""","""02/04/2021 13:59:15.696""","""5/11""","true",225738116,0.45
1751065,3,"""PRABMQVY""","6",686669,"p962s0107",2,"""answer""","""12/23/2020 13:27:41.139""","""5/12""","false",225298729,0.42
1751065,3,"""PRABMQVY""","6",687766,"p821s0908",2,"""answer""","""01/29/2021 15:31:21.750""","""5/11""","true",225672034,0.45
1751065,3,"""PRABMQVY""","6",687200,"p116s0808",2,"""answer""","""01/13/2021 13:41:29.289""","""5/11""","true",225449158,0.45
